name,address,cuisine,latitude,longitude
Zócalo,"1801 Capitol Ave., Sacramento, 95801, USA",$$ · Mexican,38.57426,-121.483656
Grange,"926 J St., Sacramento, 95814, USA",$$$ · American,38.580168,-121.493894
Ad Hoc,"6476 Washington St., Yountville, 94599, USA",$$$ · American,38.399176,-122.358546
Bouchon,"6534 Washington St., Yountville, 94599, USA",$$$ · French,38.402561,-122.361997
7 Adams,"1963 Sutter St., San Francisco, 94115, USA","$$$$ · Californian, Contemporary",37.785968,-122.43261
Manohar’s Delhi Palace,"581 Azusa Way, La Puente, 91744, USA",$$ · Indian,34.011792,-117.924607
Uka,"6801 Hollywood Blvd., Level 5, Los Angeles, 90028, USA",$$$$ · Japanese Contemporary,34.102485,-118.339901
Maligne,"600 Broadway Ave., Seaside, 93955, USA",$$$ · Californian,36.609047,-121.850443
Coastal Kitchen,"400 Cannery Row, Monterey, 93940, USA",$$$$ · Contemporary,36.612109,-121.897867
Dalida,"101 Montgomery St., Ste. 100, San Francisco, 94129, USA","$$$ · Mediterranean Cuisine, Turkish",37.799937,-122.459689
Prik Hom,"3226 Geary Blvd., San Francisco, 94118, USA","$$ · Thai, Californian",37.78191,-122.453724
Rory's Place,"139 E. Ojai Ave., Ojai, 93023, USA",$$$ · Californian,34.447618,-119.246188
Kan Kiin,"201 Southgate Ave., Daly City, 94015, USA","$$ · Thai, American",37.697102,-122.48431
Lilo,"2571 Roosevelt St., Carlsbad, 92008, USA",$$$$ · Californian,33.164357,-117.351506
Tanner's Prime Burgers,"510 Vista Way, Oceanside, 92054, USA",$ · American,33.172662,-117.359304
Majka,"1704 15th St., Sacramento, 95814, USA","$$ · Italian, Pizza",38.57057,-121.49019
Rasarumah,"3107 Beverly Blvd., Los Angeles, 90026, USA",$$$ · Malaysian,34.072232,-118.28248
Komal,"3655 S. Grand Ave., Los Angeles, 90007, USA",$ · Mexican,34.017344,-118.278246
Kusano,"10726 Jefferson Blvd., Culver City, 90230, USA","$$$$ · Japanese, Sushi",34.002199,-118.392565
Verjus,"550 Washington St., San Francisco, 94111, USA",$$$ · French,37.795756,-122.402678
Mori Nozomi,"11500 W. Pico Blvd., Los Angeles, 90064, USA","$$$$ · Japanese, Sushi",34.033245,-118.442185
Vin Folk,"1501 Hermosa Ave., Hermosa Beach, 90254, USA","$$ · Californian, Contemporary",33.864583,-118.400854
Prelude,"333 Battery St., San Francisco, 94111, USA","$$$$ · American, Southern",37.794701,-122.400677
Azalina’s,"499 Ellis St., San Francisco, 94102, USA","$$$ · Malaysian, Californian",37.78451,-122.41413
Sungho,"250 Hyde St., San Francisco, 94102, USA",$$ · Korean,37.783379,-122.415695
Hed 11,"1800 Sutter St., San Francisco, 94115, USA","$$$$ · Thai, Contemporary",37.786719,-122.430306
Amour,"8715 Beverly Blvd., West Hollywood, 90048, USA",$$$$ · French Contemporary,34.077143,-118.381071
Sun Moon Studio,"1940 Union St., Ste. 21, Oakland, 94607, USA",$$$$ · Californian,37.814536,-122.28617
Enclos,"139 E. Napa St., Sonoma, 95476, USA","$$$$ · Contemporary, Californian",38.291541,-122.455862
Barra Santos,"1215 Cypress Ave., Los Angeles, 90065, USA",$$ · Portuguese,34.095646,-118.228049
The Restaurant at JUSTIN,"11680 Chimney Rock Rd., Paso Robles, 93446, USA","$$$$ · Californian, Contemporary",35.65494,-120.900855
Pasta|Bar,"16101 Ventura Blvd., Ste. 250, Encino, 91436, USA","$$$$ · Contemporary, American",34.156905,-118.484203
Saffron,"1143 San Carlos Ave., San Carlos, 94070, USA","$$ · Indian, Contemporary",37.50665,-122.260582
Silvers Omakase,"224 Helena Ave., Santa Barbara, 93101, USA",$$$$ · Sushi,34.415307,-119.691668
Four Kings,"710 Commercial St., San Francisco, 94108, USA","$$ · Chinese, Cantonese",37.794084,-122.405087
Aurum,"132 State St., Los Altos, 94022, USA","$$$ · Indian, Classic Cuisine",37.380152,-122.115699
Mirra,"1954 W. Armitage Ave., Chicago, 60622, USA","$$ · Fusion, Mexican",41.917936,-87.677358
Laliko,"80 Carmine St., New York, 10014, USA",$$ · Central Asian,40.729436,-74.004928
Mango Bay,"271 Adelphi St., Brooklyn, 11205, USA",$$$ · Caribbean,40.689405,-73.970916
Taqueria Chingón,"817 W. Fulton Market, Chicago, 60607, USA",$ · Mexican,41.88656,-87.648225
Table Culture Provisions,"312 Petaluma Blvd. S., Petaluma, 94952, USA","$$$$ · Contemporary, French",38.23164,-122.63506
Morihiro,"3133 Glendale Blvd., Los Angeles, 90039, USA","$$$$ · Japanese, Sushi",34.116971,-118.262422
Bombera,"3459 Champion St., Oakland, 94602, USA","$$ · Mexican, Californian",37.799437,-122.215207
Bird & Buffalo,"4659 Telegraph Ave., Oakland, 94609, USA","$$ · Thai, Regional Cuisine",37.833967,-122.263373
Heritage Barbecue,"31721 Camino Capistrano, San Juan Capistrano, 92675, USA","$$ · Barbecue, Regional Cuisine",33.501981,-117.663205
Sushi Kaneyoshi,"250 E. 1st St., B1, Los Angeles, 90012, USA","$$$$ · Japanese, Sushi",34.050097,-118.241522
Sushi Shin,"312 Arguello St., Redwood City, 94063, USA","$$$$ · Japanese, Sushi",37.486635,-122.23191
Ember,"1200 E. Grand Ave., Arroyo Grande, 93420, USA",$$$ · Californian,35.121028,-120.599455
Bello by Sandro Nardone,"1200 Bison Ave., Newport Beach, 92660, USA","$$$ · Italian, Contemporary",33.63793,-117.86429
Valley,"487 1st St. W., Sonoma, 95476, USA",$$ · Californian,38.292323,-122.45911
Moo's Craft Barbecue,"2118 N. Broadway, Los Angeles, 90031, USA","$$ · Barbecue, Regional Cuisine",34.0733,-118.218215
Ox + Anchor,"877 Palm St., San Luis Obispo, 93401, USA",$$$$ · Steakhouse,35.281635,-120.66343
IMA,"9669 S. Santa Monica Blvd., Los Angeles, 90210, USA","$$$$ · Japanese, Sukiyaki",34.068286,-118.407726
Lumière,"2025 Avenue Of The Stars, Los Angeles, 90067, USA","$$$ · French, Farm to table",34.057331,-118.415749
North Block,"6757 Washington St., Yountville, 94599, USA",$$$ · Californian,38.406205,-122.366712
Dumpling Home,"298 Gough St., San Francisco, 94102, USA","$ · Chinese, Dumplings",37.775718,-122.422572
Perle,"43 E. Union St., Pasadena, 91103, USA",$$$ · French,34.146959,-118.149502
Spoon & Pork,"3131 W. Sunset Blvd., Los Angeles, 90026, USA","$$ · Filipino, Fusion",34.08524,-118.27453
Callie,"1195 Island Ave., San Diego, 92101, USA","$$ · Mediterranean Cuisine, Middle Eastern",32.710278,-117.154011
Phở 79,"9941 Hazard Ave., Garden Grove, 92844, USA","$ · Vietnamese, Noodles",33.75241,-117.95572
